epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1554.92,0.7101,0.45925,1.04072,0.92461,0.76311,0.82303,0.65442,0.95599,0.86474,1.26364,0.00059905,0.00059905,0.00059905
83,1581.09,0.72914,0.48278,1.06312,0.96686,0.78395,0.85335,0.66262,1.01922,0.82278,1.29461,0.0005941,0.0005941,0.0005941
84,1607.4,0.72634,0.47188,1.07058,0.92849,0.75761,0.82572,0.63702,1.0363,0.9021,1.30137,0.00058915,0.00058915,0.00058915
85,1632.49,0.69765,0.47243,1.03638,0.94519,0.70963,0.80314,0.62374,1.01708,1.00728,1.31341,0.0005842,0.0005842,0.0005842
86,1658.34,0.72435,0.48969,1.05793,0.96265,0.73676,0.80953,0.63425,1.02864,0.9109,1.34371,0.00057925,0.00057925,0.00057925
87,1684.07,0.69833,0.46971,1.04817,0.84017,0.83542,0.8538,0.66123,1.01084,0.82286,1.27158,0.0005743,0.0005743,0.0005743
88,1709.59,0.71712,0.48592,1.04992,0.85478,0.77574,0.78681,0.59162,1.05437,1.05815,1.3715,0.00056935,0.00056935,0.00056935
89,1735.39,0.71738,0.4616,1.05403,0.92225,0.72084,0.78971,0.59868,1.11821,0.9655,1.46265,0.0005644,0.0005644,0.0005644
90,1760.22,0.69977,0.46013,1.04564,0.94233,0.71437,0.82892,0.63137,1.03713,0.92203,1.33846,0.00055945,0.00055945,0.00055945
91,1786.69,0.69048,0.45632,1.0341,0.91634,0.69172,0.7971,0.619,1.10248,1.04197,1.39205,0.0005545,0.0005545,0.0005545
92,1812.01,0.70905,0.46128,1.04841,0.85018,0.76052,0.81038,0.62428,1.03629,0.89059,1.35946,0.00054955,0.00054955,0.00054955
93,1836.41,0.71177,0.45866,1.04519,0.91431,0.80498,0.87363,0.68436,0.92693,0.74823,1.23823,0.0005446,0.0005446,0.0005446
94,1862.65,0.70082,0.45713,1.0289,0.93859,0.81932,0.90145,0.68332,0.98621,0.77889,1.2551,0.00053965,0.00053965,0.00053965
95,1887.95,0.68486,0.43368,1.04074,0.89803,0.76547,0.82547,0.63529,1.00394,1.03727,1.30245,0.0005347,0.0005347,0.0005347
96,1913.44,0.67719,0.4388,1.02509,0.88871,0.74895,0.81383,0.60824,1.1,1.07704,1.35382,0.00052975,0.00052975,0.00052975
97,1937.35,0.6773,0.43799,1.03433,0.81292,0.74775,0.77671,0.60969,1.06852,1.03764,1.37079,0.0005248,0.0005248,0.0005248
98,1956.78,0.69242,0.44891,1.03843,0.90563,0.77929,0.8295,0.64236,1.05652,0.82943,1.34223,0.00051985,0.00051985,0.00051985
99,1978.03,0.66931,0.42757,1.02979,0.90562,0.76342,0.85342,0.65437,1.07791,0.92047,1.36606,0.0005149,0.0005149,0.0005149
100,1996.9,0.65971,0.44038,1.02073,0.91385,0.82853,0.89107,0.66952,1.02781,0.72721,1.33,0.00050995,0.00050995,0.00050995
